City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,buala,-8.145,159.5921,83.25,78,100,11.27,SB,1725148842
154,lihue,21.9789,-159.3672,86.74,75,25,9.13,US,1725148843
155,weno,7.4515,151.8468,82.63,78,100,10.87,FM,1725148844
156,warrnambool,-38.3833,142.4833,55.65,80,94,22.82,AU,1725148845
157,sal rei,16.1833,-22.9167,77.76,85,94,13.56,CV,1725148846
158,st. john's,47.5649,-52.7093,63.97,73,20,25.32,CA,1725148847
159,jurm,36.8648,70.8342,59.67,44,56,0.25,AF,1725148849
160,goundam,16.4145,-3.6708,78.12,74,100,21.88,ML,1725148850
161,leticia,-4.2153,-69.9406,84.18,83,20,2.3,CO,1725148851
162,novyy urengoy,66.0833,76.6333,40.5,77,100,12.01,RU,1725148852
163,ilulissat,69.2167,-51.1,33.82,80,100,4.61,GL,1725148853
164,enewetak,11.3474,162.3373,84.58,80,77,18.14,MH,1725148854
165,kon tum,14.35,108.0,71.04,96,100,1.66,VN,1725148855
166,revda,56.801,59.9303,39.69,92,42,2.59,RU,1725148858
167,bykovo,55.6361,38.0803,62.96,88,0,6.71,RU,1725148859
168,turpan,42.9333,89.1667,80.67,24,28,2.89,CN,1725148860
169,saryozek,44.3583,77.9753,63.64,38,0,4.45,KZ,1725148801
170,constantia,44.1833,28.65,68.7,64,100,7.58,RO,1725148831
171,hamilton,39.1834,-84.5333,81.97,73,94,1.99,US,1725148692
172,veinticinco de mayo,-35.4323,-60.1727,47.98,97,100,3.0,AR,1725148867
173,karratha,-20.7377,116.8463,81.68,27,0,9.53,AU,1725148868
174,portland,45.5234,-122.6762,99.99,28,20,9.22,US,1725148634
175,olonkinbyen,70.9221,-8.7187,43.65,97,100,22.28,SJ,1725148871
176,bredasdorp,-34.5322,20.0403,49.5,94,0,7.14,ZA,1725148872
177,la ronge,55.1001,-105.2842,66.45,39,75,10.36,CA,1725148873
178,colonia,50.9333,6.95,70.97,78,0,3.44,DE,1725148874
179,bubaque,11.2833,-15.8333,79.75,86,100,13.27,GW,1725148875
180,al jawf,29.5,38.75,75.27,44,1,7.76,SA,1725148876
181,piti village,13.4626,144.6933,87.71,81,94,4.18,GU,1725148878
182,aasiaat,68.7098,-52.8699,33.13,79,90,8.52,GL,1725148879
183,thunder bay,48.4001,-89.3168,66.18,82,75,8.05,CA,1725148880
184,harstad,68.799,16.5293,53.15,89,64,13.0,NO,1725148881
185,tarakan,3.3,117.6333,78.3,94,40,6.91,ID,1725148852
186,lander,42.833,-108.7307,84.97,18,0,11.21,US,1725148883
187,westport,41.1415,-73.3579,75.02,81,20,7.0,US,1725148664
188,forfar,56.6431,-2.8903,53.37,95,31,2.62,GB,1725148886
189,holualoa,19.6228,-155.9522,83.88,83,5,8.28,US,1725148887
190,zadonsk,52.3904,38.9261,65.8,49,6,6.53,RU,1725148889
191,la carlota,10.4233,122.9208,76.21,94,100,4.61,PH,1725148890
192,piacabucu,-10.4056,-36.4344,73.71,68,25,9.6,BR,1725148891
193,brazzaville,-4.2658,15.2832,77.36,65,65,5.75,CG,1725148892
194,camargo,27.6667,-105.1667,85.24,36,64,21.18,MX,1725148894
195,walvis bay,-22.9575,14.5053,56.88,73,0,6.04,NA,1725148895
196,thurso,58.5927,-3.5259,53.85,88,66,17.0,GB,1725148896
197,weatherford,32.7593,-97.7972,87.17,64,99,4.0,US,1725148899
198,alesund,62.4723,6.1549,52.0,92,40,3.44,NO,1725148900
199,nogliki,51.8333,143.1667,55.94,84,100,24.96,RU,1725148901
200,tofol,5.3248,163.0078,84.45,77,27,17.11,FM,1725148902
201,guanica,17.9716,-66.908,80.98,79,4,9.93,PR,1725148903
202,avarua,-21.2078,-159.775,78.85,73,75,33.38,CK,1725148701
203,vaggeryd,57.4981,14.1484,41.29,74,3,4.03,SE,1725148905
204,east london,-33.0153,27.9116,70.81,42,18,13.24,ZA,1725148907
205,geraldton,-28.7667,114.6,57.61,82,100,6.91,AU,1725148908
206,yaren,-0.5472,166.916,83.82,77,73,19.28,NR,1725148909
207,anadyr,64.75,177.4833,46.9,61,75,15.01,RU,1725148910
208,armidale,-30.5167,151.65,67.78,41,0,13.44,AU,1725148911
209,galesong,-5.3166,119.3661,81.19,72,68,5.41,ID,1725148912
210,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,94,100,13.42,RU,1725148913
211,fort st. john,56.2499,-120.8529,76.89,41,75,10.36,CA,1725148914
212,margaret river,-33.95,115.0667,56.95,77,100,15.12,AU,1725148917
213,wewak,-3.5534,143.6268,82.99,71,62,5.1,PG,1725148918
214,usogorsk,63.4106,48.6872,54.1,96,86,5.41,RU,1725148920
215,chipinge,-20.1883,32.6236,50.61,81,24,7.4,ZW,1725148921
216,jamestown,42.097,-79.2353,67.64,94,0,5.75,US,1725148922
217,saipan,15.1355,145.701,83.8,70,99,7.09,MP,1725148852
218,rongelap,11.1635,166.8941,83.71,78,33,17.52,MH,1725148925
219,sandnessjoen,66.0217,12.6316,54.63,83,93,9.26,NO,1725148929
220,codrington,-38.2667,141.9667,55.85,78,82,21.88,AU,1725148930
221,kisangani,0.5167,25.2,69.58,99,57,1.45,CD,1725148932
222,san juan de miraflores,-12.1629,-76.9635,60.17,86,21,6.51,PE,1725148933
223,nemuro,43.3236,145.575,67.62,80,8,13.87,JP,1725148934
224,san andres,12.5847,-81.7006,86.02,79,40,3.44,CO,1725148935
225,scottburgh,-30.2867,30.7532,58.53,77,0,11.3,ZA,1725148936
226,kasongo,-4.45,26.6667,74.1,69,88,2.44,CD,1725148939
227,sungho 1-tong,38.9914,125.9778,73.44,72,22,1.28,KP,1725148940
228,ustrzyki dolne,49.4304,22.5938,58.84,65,61,1.61,PL,1725148941
229,mejit,10.2753,170.8646,82.9,77,95,14.88,MH,1725148942
230,enns,48.2141,14.4778,73.69,66,100,6.35,AT,1725148943
231,andergrove,-21.0833,149.1833,73.72,71,7,5.93,AU,1725148945
232,weligama,5.9667,80.4167,81.91,90,78,6.11,LK,1725148946
233,hawaiian paradise park,19.5933,-154.9731,84.72,79,28,3.0,US,1725148825
234,sao gabriel da cachoeira,-0.1303,-67.0892,73.76,94,88,3.49,BR,1725148948
235,puerto baquerizo moreno,-0.9,-89.6,67.73,78,82,14.32,EC,1725148950
236,chibougamau,49.9168,-74.3659,67.62,52,0,6.91,CA,1725148951
237,san jose del guaviare,2.5729,-72.6459,79.47,70,59,2.06,CO,1725148952
238,safotu,-13.4513,-172.4018,78.78,88,93,30.09,WS,1725148954
239,port said,31.2565,32.2841,82.38,78,0,9.22,EG,1725148955
240,amungan,15.3652,119.9582,83.39,76,99,1.59,PH,1725148956
241,clevelandia,-26.3958,-52.4708,64.49,57,66,4.05,BR,1725148957
242,tshabong,-26.05,22.45,59.34,54,0,23.0,BW,1725148958
243,newnham,-41.3833,147.1333,49.15,93,75,19.57,AU,1725148959
244,uturoa,-16.7333,-151.4333,78.08,79,68,29.48,PF,1725148960
245,susuman,62.7833,148.1667,52.09,86,100,4.34,RU,1725148961
246,sant lluis,39.8526,4.2594,75.6,94,0,8.05,ES,1725148962
247,klyuchi,52.2667,79.1667,49.66,89,48,4.47,RU,1725148964
248,puerto aysen,-45.4,-72.7,43.45,99,100,5.01,CL,1725148965
249,tambura,5.6,27.4667,68.05,97,100,2.33,SS,1725148966
250,porkhov,57.765,29.5561,52.5,98,65,4.56,RU,1725148967
251,sitka,57.0531,-135.33,57.54,99,100,5.37,US,1725148968
252,severo-yeniseyskiy,60.3725,93.0408,43.25,91,100,3.38,RU,1725148969
253,kodiak,57.79,-152.4072,51.94,92,100,7.94,US,1725148891
254,bhawanipatna,19.9,83.1667,74.75,98,68,3.36,IN,1725148972
255,lorengau,-2.0226,147.2712,83.5,76,98,11.97,PG,1725148973
256,tubmanburg,6.8708,-10.8172,72.52,96,100,2.66,LR,1725148974
257,remire-montjoly,4.9167,-52.2667,82.44,83,0,5.75,GF,1725148975
258,maceio,-9.6658,-35.7353,72.84,83,40,4.61,BR,1725148889
259,san fernando,15.0286,120.6898,82.13,89,100,2.46,PH,1725148977
